insecticide;tolerance;enfezamento_note
_0;low;3,5
_1;low;3
_2;low;3
_3;low;2,5
_4;low;3
_5;low;3
_0;low;3,5
_1;low;3
_2;low;3
_3;low;2,5
_4;low;3
_5;low;3,5
_0;low;3,5
_1;low;3,5
_2;low;3
_3;low;2,5
_4;low;3,5
_5;low;3,5
_0;medium;2
_1;medium;2
_2;medium;2
_3;medium;2
_4;medium;2
_5;medium;2
_0;medium;2
_1;medium;2
_2;medium;2
_3;medium;2
_4;medium;2
_5;medium;2
_0;medium;2
_1;medium;2
_2;medium;2
_3;medium;2
_4;medium;2
_5;medium;2
_0;high;1,5
_1;high;1,5
_2;high;1,5
_3;high;1,5
_4;high;1,5
_5;high;1,5
_0;high;1,5
_1;high;1,5
_2;high;1,5
_3;high;1
_4;high;1,5
_5;high;1,5
_0;high;1,5
_1;high;1,5
_2;high;1,5
_3;high;1
_4;high;1,5
_5;high;1,5
