parcela;hibrido;tolerance;insecticide;stand;pse_ha;pes_15;peso_grao;umidade
49;suscetivel;low;_0;89;6523,809524;6181,452173;10,96;13,72
50;suscetivel;low;_0;92;5892,857143;5515,273064;9,9;13,89
51;suscetivel;low;_0;73;6095,238095;5717,034288;10,24;13,86
52;suscetivel;low;_0;83;5410,714286;5045,859807;9,09;13,94
53;suscetivel;low;_0;87;6065,47619;5668,669337;10,19;13,91
54;suscetivel;low;_1;79;5696,428571;5377,891897;9,57;13,77
55;suscetivel;low;_1;92;5791,666667;5239,503595;9,73;14,37
56;suscetivel;low;_1;87;6202,380952;5928,746499;10,42;13,6
57;suscetivel;low;_1;89;7404,761905;7205,232392;12,44;13,36
58;suscetivel;low;_2;81;6434,52381;6265,828429;10,81;13,35
59;suscetivel;low;_2;91;6476,190476;6287,563569;10,88;13,39
60;suscetivel;low;_2;76;6505,952381;6456,288622;10,93;13,1
61;suscetivel;low;_2;94;6357,142857;6232,492997;10,68;13,26
62;suscetivel;low;_3;93;6910,714286;6806,006494;11,61;13,2
63;suscetivel;low;_3;82;7190,47619;6888,444398;12,08;13,57
64;suscetivel;low;_3;96;7523,809524;7056,9642;12,64;13,86
65;suscetivel;low;_3;94;6476,190476;5758,582503;10,88;14,62
66;suscetivel;low;_4;81;6500;5980,184006;10,92;14,13
67;suscetivel;low;_4;98;7303,571429;6786,735423;12,27;13,99
68;suscetivel;low;_4;95;7160,714286;6849,837065;12,03;13,59
69;suscetivel;low;_5;79;6559,52381;6293,270076;11,02;13,55
70;suscetivel;low;_5;99;6952,380952;6719,773411;11,68;13,45
71;suscetivel;low;_5;89;6636,904762;6433,986719;11,15;13,41
72;suscetivel;low;_5;77;6886,904762;6676,34317;11,57;13,41
1;Ag_8480pro3;medium;_0;76;5821,428571;4904,638459;9,78;15,43
2;Ag_8480pro3;medium;_0;71;6297,619048;5309,276759;10,58;15,42
3;Ag_8480pro3;medium;_0;89;8291,666667;7068,306011;13,93;15,25
4;Ag_8480pro3;medium;_0;86;7375;6185,483871;12,39;15,5
5;Ag_8480pro3;medium;_0;64;6000;5357,142857;10,08;14,56
6;Ag_8480pro3;medium;_1;90;7196,428571;6220,317249;12,09;15,04
7;Ag_8480pro3;medium;_1;89;6988,095238;5860,983103;11,74;15,5
8;Ag_8480pro3;medium;_1;74;7309,52381;6190,47619;12,28;15,35
9;Ag_8480pro3;medium;_1;91;7952,380952;6530,698192;13,36;15,83
10;Ag_8480pro3;medium;_2;88;8351,190476;6990,693895;14,03;15,53
11;Ag_8480pro3;medium;_2;74;7863,095238;6449,226378;13,21;15,85
12;Ag_8480pro3;medium;_2;88;7773,809524;6605,197635;13,06;15,3
13;Ag_8480pro3;medium;_2;82;6958,333333;6277,46935;11,69;14,41
14;Ag_8480pro3;medium;_3;74;6672,619048;5913,023014;11,21;14,67
15;Ag_8480pro3;medium;_3;82;8642,857143;7520,558424;14,52;14,94
16;Ag_8480pro3;medium;_3;84;7940,47619;6711,715896;13,34;15,38
17;Ag_8480pro3;medium;_3;91;7732,142857;6639,224382;12,99;15,14
18;Ag_8480pro3;medium;_4;74;6863,095238;5842,844669;11,53;15,27
19;Ag_8480pro3;medium;_4;84;6386,904762;5550,117774;10,73;14,96
20;Ag_8480pro3;medium;_4;88;7244,047619;6299,171843;12,17;14,95
21;Ag_8480pro3;medium;_5;69;6892,857143;6598,464128;11,58;13,58
22;Ag_8480pro3;medium;_5;86;7130,952381;6776,489836;11,98;13,68
23;Ag_8480pro3;medium;_5;71;5934,52381;4961,338233;9,97;15,55
24;Ag_8480pro3;medium;_5;83;7821,428571;6663,078075;13,14;15,26
25;tolerante;high;_0;83;8958,333333;7666,776388;15,05;15,19
26;tolerante;high;_0;67;7464,285714;6216,253317;12,54;15,61
27;tolerante;high;_0;82;8416,666667;7072,829132;14,14;15,47
28;tolerante;high;_0;79;8136,904762;6918,231648;13,67;15,29
29;tolerante;high;_0;69;8255,952381;6996,569814;13,87;15,34
30;tolerante;high;_1;83;9148,809524;7560,999606;15,37;15,73
31;tolerante;high;_1;87;9357,142857;7597,929865;15,72;16,01
32;tolerante;high;_1;93;9773,809524;8067,271353;16,42;15,75
33;tolerante;high;_1;75;8809,52381;7308,4754;14,8;15,67
34;tolerante;high;_2;96;9023,809524;7738,095238;15,16;15,16
35;tolerante;high;_2;81;7892,857143;6746,031746;13,26;15,21
36;tolerante;high;_2;76;9375;7919,103314;15,75;15,39
37;tolerante;high;_2;84;8386,904762;6840,010157;14,09;15,94
38;tolerante;high;_3;80;8178,571429;6471,176419;13,74;16,43
39;tolerante;high;_3;83;9511,904762;7699,549309;15,98;16,06
40;tolerante;high;_3;87;8434,52381;6714,562739;14,17;16,33
41;tolerante;high;_3;79;9535,714286;7361,299627;16,02;16,84
42;tolerante;high;_4;89;9089,285714;7092,479849;15,27;16,66
43;tolerante;high;_4;86;8880,952381;7415,053369;14,92;15,57
44;tolerante;high;_4;71;8226,190476;6926,196644;13,82;15,44
45;tolerante;high;_5;86;8690,47619;7246,708818;14,6;15,59
46;tolerante;high;_5;77;8190,47619;6972,90049;13,76;15,27
47;tolerante;high;_5;71;6148,809524;5474,967384;10,33;14,6
48;tolerante;high;_5;81;7523,809524;6745,484401;12,64;14,5
